Date,Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
9/7/2012,3:00,18.5,14.5,78,6,25.0,100.68,Clear
9/7/2012,4:00,18.3,14.2,77,6,25.0,100.68,Clear
9/7/2012,5:00,15.8,14.3,91,7,25.0,100.72,Mainly Clear
9/7/2012,6:00,17.5,14.6,83,11,48.3,100.77,Mainly Clear
9/8/2012,20:00,19.2,13.2,68,43,25.0,99.51,Mainly Clear
9/8/2012,22:00,14.2,10.8,80,30,25.0,99.87,Mostly Cloudy
9/9/2012,2:00,13.7,9.6,76,24,25.0,100.3,Mostly Cloudy
9/9/2012,3:00,12.6,9.4,81,17,25.0,100.28,Mainly Clear
9/9/2012,4:00,12.2,9.5,84,20,25.0,100.39,Mainly Clear
9/9/2012,5:00,11.5,9.5,88,11,25.0,100.44,Clear
9/9/2012,6:00,11.0,9.6,91,6,24.1,100.5,Mainly Clear
9/9/2012,7:00,12.1,9.8,86,7,24.1,100.57,Mainly Clear
9/9/2012,8:00,13.7,9.9,78,17,24.1,100.6,Mainly Clear
9/9/2012,9:00,14.8,8.8,67,17,48.3,100.65,Mainly Clear
9/9/2012,10:00,15.7,9.0,64,17,48.3,100.69,Mostly Cloudy
9/9/2012,11:00,16.8,9.0,60,19,48.3,100.66,Mainly Clear
9/9/2012,12:00,17.3,8.9,58,22,48.3,100.65,Mainly Clear
9/9/2012,13:00,17.3,8.6,57,11,48.3,100.68,Mainly Clear
9/9/2012,14:00,18.1,8.4,53,19,48.3,100.67,Mostly Cloudy
9/9/2012,15:00,17.6,8.9,57,17,48.3,100.67,Mostly Cloudy
9/9/2012,16:00,17.9,8.4,54,22,48.3,100.71,Mainly Clear
9/9/2012,17:00,15.6,8.4,62,15,48.3,100.76,Mainly Clear
9/9/2012,18:00,15.5,8.6,63,11,48.3,100.8,Mostly Cloudy
9/9/2012,19:00,15.2,8.6,65,11,25.0,100.83,Mostly Cloudy
9/9/2012,20:00,14.1,8.6,69,9,25.0,100.87,Mostly Cloudy
9/9/2012,21:00,13.7,9.0,73,9,25.0,100.89,Mostly Cloudy
9/9/2012,22:00,14.2,9.0,71,9,25.0,100.9,Mostly Cloudy
9/10/2012,0:00,13.4,10.2,81,9,25.0,100.94,Mostly Cloudy
9/10/2012,1:00,13.0,10.3,84,9,25.0,100.95,Mostly Cloudy
9/10/2012,2:00,12.7,9.9,83,11,25.0,100.96,Mostly Cloudy
9/10/2012,3:00,12.4,9.5,82,11,25.0,100.98,Mostly Cloudy
9/10/2012,4:00,11.3,8.7,84,13,25.0,101.0,Mainly Clear
9/10/2012,5:00,10.4,8.5,88,17,25.0,101.05,Mainly Clear
9/10/2012,6:00,10.1,8.1,87,17,24.1,101.15,Mainly Clear
9/10/2012,7:00,11.5,7.6,77,15,24.1,101.23,Mainly Clear
9/10/2012,8:00,12.8,7.1,68,19,24.1,101.29,Mostly Cloudy
9/10/2012,9:00,13.3,7.3,67,15,24.1,101.33,Mainly Clear
9/10/2012,10:00,14.4,6.5,59,15,24.1,101.32,Mostly Cloudy
9/10/2012,11:00,14.9,6.3,56,19,48.3,101.31,Mostly Cloudy
9/10/2012,12:00,16.0,6.1,52,20,48.3,101.31,Mostly Cloudy
9/10/2012,13:00,16.6,6.0,50,13,48.3,101.32,Mostly Cloudy
9/10/2012,14:00,17.5,6.1,47,20,48.3,101.3,Mostly Cloudy
9/10/2012,15:00,17.8,5.9,46,24,24.1,101.27,Mostly Cloudy
9/10/2012,16:00,16.7,5.1,46,20,48.3,101.31,Mostly Cloudy
9/10/2012,17:00,16.1,4.9,47,20,48.3,101.39,Mostly Cloudy
9/10/2012,18:00,14.5,4.9,52,17,24.1,101.43,Mostly Cloudy
9/10/2012,19:00,13.5,4.9,56,9,25.0,101.47,Mainly Clear
9/10/2012,20:00,10.9,5.7,70,7,25.0,101.54,Clear
9/10/2012,21:00,9.8,6.0,77,6,25.0,101.55,Clear
9/10/2012,22:00,9.7,5.9,77,7,25.0,101.56,Clear
9/10/2012,23:00,9.3,6.4,82,7,25.0,101.56,Clear
9/11/2012,0:00,8.4,6.2,86,9,25.0,101.57,Clear
9/11/2012,1:00,8.4,6.3,87,9,25.0,101.58,Clear
9/11/2012,2:00,8.4,6.9,90,9,25.0,101.6,Clear
9/11/2012,3:00,9.1,7.3,88,7,25.0,101.64,Clear
9/11/2012,4:00,9.2,6.8,85,4,25.0,101.7,Clear
9/11/2012,5:00,6.9,5.6,91,0,25.0,101.75,Clear
9/11/2012,6:00,7.6,6.3,91,6,24.1,101.83,Mainly Clear
9/11/2012,7:00,11.0,8.4,84,9,48.3,101.89,Mostly Cloudy
9/11/2012,8:00,13.2,8.9,75,9,48.3,101.92,Mostly Cloudy
9/11/2012,9:00,15.1,8.6,65,13,48.3,101.95,Mostly Cloudy
9/11/2012,10:00,16.8,8.9,60,17,48.3,101.93,Mostly Cloudy
9/11/2012,11:00,18.4,8.4,52,19,48.3,101.89,Mainly Clear
9/11/2012,12:00,18.9,9.1,53,19,48.3,101.87,Mainly Clear
9/11/2012,13:00,20.6,9.7,50,20,48.3,101.81,Mainly Clear
9/11/2012,14:00,21.0,8.9,46,20,48.3,101.75,Mainly Clear
9/11/2012,15:00,21.3,8.4,44,19,48.3,101.69,Mainly Clear
9/11/2012,16:00,21.5,8.9,44,20,48.3,101.67,Mainly Clear
9/11/2012,17:00,21.4,9.4,46,20,48.3,101.67,Mainly Clear
9/11/2012,18:00,20.7,10.3,51,17,48.3,101.66,Mainly Clear
9/11/2012,19:00,19.8,11.1,57,9,25.0,101.68,Mainly Clear
9/11/2012,20:00,19.8,11.6,59,15,25.0,101.73,Mainly Clear
9/11/2012,21:00,19.1,12.9,67,15,25.0,101.76,Clear
9/11/2012,22:00,18.4,12.0,66,17,25.0,101.78,Clear
9/11/2012,23:00,17.8,11.9,68,15,25.0,101.8,Clear
9/12/2012,0:00,17.5,10.6,64,17,25.0,101.82,Clear
9/12/2012,1:00,17.2,9.9,62,11,25.0,101.85,Clear
9/12/2012,2:00,14.5,9.6,72,6,25.0,101.86,Clear
9/12/2012,3:00,13.2,9.9,80,4,25.0,101.9,Clear
9/12/2012,4:00,13.7,10.0,78,0,25.0,101.91,Clear
9/12/2012,5:00,13.1,10.7,85,6,25.0,101.96,Clear
9/12/2012,6:00,13.5,11.2,86,0,48.3,102.02,Clear
9/12/2012,7:00,15.8,11.8,77,9,48.3,102.02,Clear
9/12/2012,8:00,17.4,11.1,66,7,48.3,102.04,Clear
